location,bhk,bath,total_sqft,price_per_sqft,price_lakhs,balcony,society_type,availability
Panvel,1,1.0,446,10416,46.46,1.0,Luxury,Ready To Move
Kharghar,3,2.0,1709,12508,213.76,1.0,Luxury,1 year
Juhu,2,2.0,845,39788,336.21,0.0,Mid-Range,6 months
Panvel,2,1.0,1302,9343,121.65,0.0,Premium,6 months
Kharghar,1,,531,12643,67.13,2.0,Premium,Ready To Move
Chembur,2,1.0,902,23348,210.6,1.0,Mid-Range,1 year
Juhu,4,4.0,1809,39990,723.42,1.0,Mid-Range,1 year
Kurla West,3,3.0,1490,13865,206.59,1.0,Affordable,6 months
Andheri West,3,3.0,1327,28906,383.58,0.0,Luxury,Ready To Move
Malad West,4,4.0,2405,17521,421.38,0.0,Mid-Range,Ready To Move
Borivali West,2,,1181,17602,207.88,,Luxury,Ready To Move
Navi Mumbai,2,1.0,1052,12403,130.48,1.0,Premium,6 months
Powai,2,2.0,941,24667,232.12,0.0,Premium,Ready To Move
Malad West,2,1.0,992,20041,198.81,2.0,Luxury,1 year
Worli,3,3.0,1583,34916,552.72,1.0,Mid-Range,1 year
Kharghar,4,3.0,2117,9893,209.43,2.0,Affordable,Ready To Move
Bandra West,3,2.0,1693,41222,697.89,1.0,Luxury,6 months
Borivali West,3,2.0,1921,16069,308.69,2.0,Mid-Range,Ready To Move
Worli,3,3.0,1839,37299,685.93,2.0,Affordable,6 months
Worli,3,3.0,1875,35210,660.19,1.0,Affordable,1 year
Andheri West,3,3.0,1494,28811,430.44,1.0,Mid-Range,6 months
Lower Parel,4,4.0,1869,33928,634.11,1.0,Premium,6 months
Powai,1,,534,25722,137.36,1.0,Mid-Range,6 months
Vikhroli,2,1.0,1214,16927,205.49,2.0,Luxury,1 year
Malad West,3,,1981,18670,369.85,0.0,Premium,Ready To Move
Malad West,2,1.0,1244,17086,212.55,2.0,Premium,Ready To Move
Chembur,2,2.0,909,20019,181.97,0.0,Premium,Ready To Move
Chembur,4,4.0,1874,22594,423.41,1.0,Affordable,1 year
Bandra West,1,1.0,698,43891,760.7898235285418,2.0,Premium,Ready To Move
Bandra West,3,3.0,1467,41278,605.55,1.0,Mid-Range,Ready To Move
Powai,4,4.0,1972,25867,510.1,2.0,Mid-Range,1 year
Worli,2,1.0,998,34675,346.06,1.0,Luxury,Ready To Move
Goregaon East,3,3.0,1293,19415,251.04,0.0,Mid-Range,Ready To Move
Kharghar,3,2.0,1735,11432,198.35,2.0,Luxury,Ready To Move
Andheri West,3,3.0,1665,27557,458.82,1.0,Affordable,Ready To Move
Malad West,3,3.0,1566,19210,300.83,2.0,Mid-Range,Ready To Move
Panvel,4,4.0,2100,8157,171.3,0.0,Affordable,Ready To Move
Kurla West,1,1.0,635,14466,91.86,1.0,Premium,Ready To Move
Ghatkopar East,2,2.0,1318,19354,255.09,0.0,Luxury,Ready To Move
Vikhroli,3,2.0,1280,18192,232.86,2.0,Luxury,6 months
Goregaon East,2,1.0,1091,17205,187.71,0.0,Luxury,6 months
Navi Mumbai,4,3.0,2015,10389,209.34,0.0,Luxury,Ready To Move
Lower Parel,2,1.0,1400,35912,502.77,2.0,Luxury,6 months
Thane West,1,1.0,626,15941,99.79,1.0,Affordable,1 year
Lower Parel,1,1.0,528,35860,189.34,0.0,Affordable,1 year
Vikhroli,3,2.0,1452,18191,264.13,0.0,Premium,1 year
Chembur,1,1.0,455,20259,92.18,,Luxury,Ready To Move
Thane West,3,3.0,1577,13973,220.35,2.0,Affordable,Ready To Move
Ghatkopar East,3,3.0,1206,20070,242.04,1.0,Premium,Ready To Move
Chembur,2,2.0,1030,20206,208.12,2.0,Affordable,1 year
Goregaon East,1,1.0,662,17360,114.92,1.0,Mid-Range,Ready To Move
Chembur,3,3.0,1404,21688,304.5,2.0,Luxury,Ready To Move
Kurla West,3,2.0,2061,15303,315.39,2.0,Affordable,6 months
Navi Mumbai,4,4.0,2470,13458,332.41,2.0,Affordable,6 months
Mira Road,1,1.0,627,8008,50.21,2.0,Mid-Range,6 months
Juhu,1,1.0,517,39366,203.52,2.0,Affordable,Ready To Move
Borivali West,3,3.0,1325,18810,249.23,0.0,Affordable,Ready To Move
Thane West,1,1.0,394,15162,59.74,1.0,Premium,1 year
Bandra West,3,3.0,1764,43435,766.19,2.0,Premium,Ready To Move
Worli,1,1.0,652,36064,235.14,1.0,Premium,6 months
Kharghar,2,1.0,1018,9565,97.37,2.0,Mid-Range,6 months
Ghatkopar East,3,3.0,1380,20556,283.67,2.0,Mid-Range,Ready To Move
Lower Parel,3,2.0,1722,35116,604.7,1.0,Affordable,6 months
Panvel,4,4.0,2106,7103,149.59,0.0,Luxury,Ready To Move
Borivali West,4,4.0,1940,15599,302.62,2.0,Mid-Range,Ready To Move
Ghatkopar East,1,1.0,759,18419,139.8,,Premium,1 year
Goregaon East,3,,1675,20794,348.3,1.0,Mid-Range,Ready To Move
Bandra West,3,2.0,1499,43399,650.55,2.0,Mid-Range,Ready To Move
Malad West,2,1.0,848,17265,146.41,2.0,Luxury,1 year
Andheri West,2,1.0,1139,26532,302.2,1.0,Luxury,6 months
Mira Road,3,3.0,1228,11803,144.94,0.0,Mid-Range,1 year
Vikhroli,3,2.0,1336,17152,229.15,0.0,Luxury,Ready To Move
Panvel,3,2.0,1367,7906,108.08,2.0,Mid-Range,6 months
Navi Mumbai,2,2.0,1449,12299,178.21,2.0,Luxury,Ready To Move
Navi Mumbai,2,2.0,1306,13927,181.89,1.0,Affordable,Ready To Move
Kharghar,2,1.0,923,11106,102.51,1.0,Affordable,Ready To Move
Kandivali East,3,3.0,1408,17883,251.79,2.0,Luxury,Ready To Move
Malad West,3,3.0,2000,19922,398.44,2.0,Affordable,Ready To Move
Worli,1,1.0,672,34155,229.52,0.0,Premium,6 months
Ghatkopar East,1,1.0,685,19669,134.73,2.0,Affordable,1 year
Thane West,1,1.0,552,14190,241.28996609224347,0.0,Luxury,Ready To Move
Navi Mumbai,3,3.0,1496,12484,186.76,1.0,Affordable,1 year
Bandra West,2,2.0,1104,40558,447.76,2.0,Mid-Range,Ready To Move
Kandivali East,3,2.0,1860,16267,302.57,0.0,Luxury,Ready To Move
Bandra West,3,2.0,1574,41248,649.24,2.0,Mid-Range,Ready To Move
Panvel,3,3.0,1337,7904,105.68,1.0,Premium,Ready To Move
Lower Parel,3,3.0,2007,34640,695.22,1.0,Luxury,6 months
Juhu,1,1.0,732,37462,274.22,2.0,Premium,Ready To Move
Kandivali East,3,3.0,1909,15301,292.1,,Mid-Range,Ready To Move
Vikhroli,3,2.0,1899,18926,359.4,0.0,Mid-Range,Ready To Move
Goregaon East,3,2.0,1514,17550,265.71,1.0,Affordable,1 year
Mira Road,2,1.0,1023,8719,89.2,0.0,Mid-Range,Ready To Move
Ghatkopar East,1,1.0,546,20979,114.55,0.0,Luxury,1 year
Vikhroli,1,1.0,594,17226,102.32,2.0,Affordable,Ready To Move
Navi Mumbai,2,2.0,1324,10548,139.66,2.0,Luxury,1 year
Navi Mumbai,3,3.0,1749,13473,235.64,2.0,Premium,Ready To Move
Mira Road,1,1.0,538,11014,59.26,1.0,Luxury,Ready To Move
Chembur,1,1.0,576,20958,120.72,0.0,Mid-Range,1 year
Chembur,2,2.0,905,20422,184.82,2.0,Mid-Range,6 months
Vikhroli,3,3.0,1601,16496,264.1,0.0,Mid-Range,1 year
Goregaon East,3,2.0,1566,18994,297.45,2.0,Luxury,Ready To Move
Mira Road,1,1.0,482,8866,42.73,0.0,Mid-Range,Ready To Move
Goregaon East,2,1.0,1146,18972,217.42,1.0,Premium,Ready To Move
Panvel,1,1.0,396,9349,37.02,0.0,Luxury,Ready To Move
Andheri West,1,1.0,648,28116,182.19,2.0,Luxury,6 months
Powai,1,1.0,716,27552,197.27,0.0,Affordable,Ready To Move
Vikhroli,4,4.0,2291,15686,359.37,1.0,Affordable,Ready To Move
Goregaon East,2,1.0,841,17067,143.53,2.0,Affordable,Ready To Move
Kurla West,1,1.0,460,16595,76.34,2.0,Luxury,Ready To Move
Chembur,3,3.0,1810,23673,428.48,2.0,Affordable,1 year
Navi Mumbai,4,4.0,2451,10939,268.11,,Affordable,6 months
Vikhroli,4,,2020,16042,324.05,0.0,Luxury,6 months
Kurla West,3,2.0,1411,13022,183.74,0.0,Luxury,Ready To Move
Kharghar,3,3.0,1809,10674,193.09,0.0,Affordable,6 months
Borivali West,4,3.0,2283,17506,399.66,,Affordable,Ready To Move
Panvel,3,2.0,1444,9290,134.15,1.0,Mid-Range,6 months
